question,answer
What is the capital of the country that was denied membership to the African Union in 2016?,Port-au-Prince
What team won the Stanley Cup in Sol 1 of Mars?,Detroit Red Wings (or Red Wings)
Who built the town where the the founder of the Seleucid Empire died?,Lysimachus
Which Unicode standard first included the Oxford Dictionaries 2015 Word of the Year?,Unicode 6.0
Where was the company that originally developed Wingdings founded?,"Albuquerque, New Mexico"
The country with the Dingo Fence uses what material to print its banknotes?,Polymer
Who was the mother of the host of the 42nd Tony Awards?,Moyna Macgill
"What acronym is sometimes used to refer to the city known as ""the big easy""?",NOLA
What's the name of the winter capital of the Indian state where Parle Products is headquartered?,Nagpur
Who was the publisher of the boxed set game in which the gelatinous cube made its first appearance?,"TSR, Inc."
"What is the average orbital speed of the celestial body that Fe, Fi, Fo, Fum, and Phooey circled?",1.022 km/s
What is the county seat of the capital of the Navajo Nation?,St. Johns
What is the county seat of the highest natural point in Texas?,Van Horn
Where was the namesake of the most populous city in Texas born?,"Rockbridge County, Virginia"
"In ancient Greek religion, who was the father of the main consort of the king of the gods?",Cronus
"Who was the mother of the person that coined the phrase ""green-eyed monster""?",Mary Arden
"In what city is the university that is the alma mater of the person that coined the idiom ""jumping the shark"" located?",Ann Arbor
Where is the headquarters of the religion practiced by Charlotte of Belgium?,Vatican City
What is the ISO 3166 code for the first country to attemp to withdraw its membership from the United Nations?,ID
Who is the patron saint of the town where the shipbuilder of the Giuseppe Garibaldi aircraft carrier has their headquarters?,Justus of Trieste
What is the main background color of the flag of the country where the Chaouia is located?,Red
What was the religion of the person who designed the national flag of Russia?,Russian Orthodoxy
"In the country where the CARICOM secretariat headquarters is located, what is the country calling code?",592
"In the country where Shikomori is an official language, what is the name of the island where the capital city is located?",Grande Comore
What's the boiling point of the metal associated with Jupiter in alchemical symbolism?,2875 K
Who designed the venue where the 1944 Bretton Woods Conference was held?,Charles Alling Gifford
"Where did the second wife of the person who was Mayor of Bridgeport, Connecticut, in 1876 pass away?","Paris, France"
What was the birthplace of the person that the festival where the Drametse Ngacham is performed honors?,Oddiyana
What is the Phylum of the first living and sentient organisms to go to space?,Arthropoda
What was the Genus of the bees carried on the last flight of space shuttle Columbia?,Xylocopa
What is the motto of the high school that the creator of Rat Fink attended?,Honor Lies In Honest Toil
What was the color of the sire of the 1834 Epsom Derby winner?,Bay
